geneID	reactionID
ENSG00000115252	R_HMR_4014
ENSG00000123360	R_HMR_4014
ENSG00000128655	R_HMR_4014
ENSG00000132915	R_HMR_4014
ENSG00000133256	R_HMR_4014
ENSG00000137496	R_HMR_4014
ENSG00000138735	R_HMR_4014
ENSG00000139053	R_HMR_4014
ENSG00000152270	R_HMR_4014
ENSG00000154678	R_HMR_4014
ENSG00000156973	R_HMR_4014
ENSG00000160191	R_HMR_4014
ENSG00000171408	R_HMR_4014
ENSG00000172572	R_HMR_4014
ENSG00000184588	R_HMR_4014
ENSG00000185527	R_HMR_4014
ENSG00000186642	R_HMR_4014
ENSG00000205268	R_HMR_4014
ENSG00000070019	R_HMR_4022
ENSG00000078295	R_HMR_4022
ENSG00000101890	R_HMR_4022
ENSG00000121281	R_HMR_4022
ENSG00000129467	R_HMR_4022
ENSG00000132518	R_HMR_4022
ENSG00000138031	R_HMR_4022
ENSG00000143199	R_HMR_4022
ENSG00000152402	R_HMR_4022
ENSG00000155897	R_HMR_4022
ENSG00000159899	R_HMR_4022
ENSG00000162104	R_HMR_4022
ENSG00000164742	R_HMR_4022
ENSG00000169418	R_HMR_4022
ENSG00000173175	R_HMR_4022
ENSG00000174233	R_HMR_4022
ENSG00000106348	R_HMR_4040
ENSG00000178035	R_HMR_4040
ENSG00000035687	R_HMR_4042
ENSG00000185100	R_HMR_4042
ENSG00000065989	R_HMR_4048
ENSG00000073417	R_HMR_4048
ENSG00000095464	R_HMR_4048
ENSG00000105650	R_HMR_4048
ENSG00000112541	R_HMR_4048
ENSG00000113231	R_HMR_4048
ENSG00000113448	R_HMR_4048
ENSG00000115252	R_HMR_4048
ENSG00000123360	R_HMR_4048
ENSG00000128655	R_HMR_4048
ENSG00000132915	R_HMR_4048
ENSG00000133256	R_HMR_4048
ENSG00000137496	R_HMR_4048
ENSG00000138735	R_HMR_4048
ENSG00000139053	R_HMR_4048
ENSG00000152270	R_HMR_4048
ENSG00000154678	R_HMR_4048
ENSG00000156973	R_HMR_4048
ENSG00000160191	R_HMR_4048
ENSG00000171408	R_HMR_4048
ENSG00000172572	R_HMR_4048
ENSG00000184588	R_HMR_4048
ENSG00000185527	R_HMR_4048
ENSG00000186642	R_HMR_4048
ENSG00000205268	R_HMR_4048
ENSG00000116337	R_HMR_4080
ENSG00000116748	R_HMR_4080
ENSG00000133805	R_HMR_4080
ENSG00000054179	R_HMR_4134
ENSG00000138185	R_HMR_4134
ENSG00000168032	R_HMR_4134
ENSG00000171302	R_HMR_4134
ENSG00000187097	R_HMR_4134
ENSG00000188833	R_HMR_4134
ENSG00000197217	R_HMR_4134
ENSG00000197586	R_HMR_4134
ENSG00000067225	R_HMR_4171
ENSG00000143627	R_HMR_4171
ENSG00000138185	R_HMR_4290
ENSG00000168032	R_HMR_4290
ENSG00000188833	R_HMR_4290
ENSG00000100354	R_HMR_4412
ENSG00000239900	R_HMR_4412
ENSG00000014257	R_HMR_4417
ENSG00000076685	R_HMR_4417
ENSG00000116981	R_HMR_4417
ENSG00000122643	R_HMR_4417
ENSG00000125458	R_HMR_4417
ENSG00000135318	R_HMR_4417
ENSG00000141698	R_HMR_4417
ENSG00000146587	R_HMR_4417
ENSG00000185013	R_HMR_4417
ENSG00000205309	R_HMR_4417
ENSG00000250741	R_HMR_4417
ENSG00000100938	R_HMR_4419
ENSG00000137198	R_HMR_4419
ENSG00000067225	R_HMR_4421
ENSG00000143627	R_HMR_4421
ENSG00000014257	R_HMR_4449
ENSG00000076685	R_HMR_4449
ENSG00000116981	R_HMR_4449
ENSG00000122643	R_HMR_4449
ENSG00000125458	R_HMR_4449
ENSG00000135318	R_HMR_4449
ENSG00000141698	R_HMR_4449
ENSG00000146587	R_HMR_4449
ENSG00000185013	R_HMR_4449
ENSG00000205309	R_HMR_4449
ENSG00000250741	R_HMR_4449
ENSG00000014257	R_HMR_4450
ENSG00000076685	R_HMR_4450
ENSG00000116981	R_HMR_4450
